50 Cent,nm1265067
Parveen Dosanjh,nm6049216
Parveen Kaur,nm5573195
Pascale Hutton,nm1370984
Pat Buttram,nm0125426
Pat Carroll,nm0140946
Pat Crowley,nm0189774
Pat Healy,nm0372366
Pat Hingle,nm0385757
Pat Morita,nm0001552
Pat Roach,nm0730053
Pat Shortt,nm0795169
Paterson Joseph,nm0430667
Patrice Lovely,nm4776479
Patricia Arquette,nm0000099
Patricia Breslin,nm0107746
Patricia Clarkson,nm0165101
Patricia Heaton,nm0005004
Patricia Neal,nm0623658
Patricia Richardson,nm0005359
Patricia Tallman,nm0848191
Patricia Velasquez,nm0892383
Patricia Wettig,nm0923210
Patrick Baladi,nm0049346
Patrick Bauchau,nm0000872
Patrick Bergin,nm0000920
Patrick Brammall,nm1669772
Patrick Breen,nm0106755
Patrick Dempsey,nm0001131
Patrick Duffy,nm0001155
Patrick Fabian,nm0264579
Patrick Fischler,nm0279209
Patrick Fugit,nm0297578
Patrick Gallagher,nm0302466
Patrick Gorman,nm0331112
Patrick Heusinger,nm1738176
Patrick Hughes,nm0400850
Patrick J. Adams,nm1140666
Patrick John Flueger,nm1005514
Patrick Kilpatrick,nm0453304
Patrick Labyorteaux,nm0479779
Patrick Macnee,nm0001495
Patrick McGoohan,nm0001526
Patrick Muldoon,nm0005258
Patrick Murney,nm2727142
Patrick Renna,nm0719606
Patrick Schwarzenegger,nm2200639
Patrick St. Esprit,nm0820520
Patrick Stewart,nm0001772
Patrick Swayze,nm0000664
Patrick Walshe McBride,nm6853993
Patrick Warburton,nm0911320
Patrick Wayne,nm0915618
Patrick Wilson,nm0933940
Patsy Kensit,nm0000475
Patti D'Arbanville,nm0001091
Patti Harrison,nm8773928
Patti LuPone,nm0526985
Patton Oswalt,nm0652663
Patty Duke,nm0001157
Patty McCormack,nm0566478
Paul Adelstein,nm0011882
Paul Anderson,nm2167957
Paul Bates,nm0061003
Paul Ben-Victor,nm0070115
Paul Bettany,nm0079273
Paul Blackthorne,nm0085860
Paul Bullion,nm5620024
Paul Calderon,nm0129538
Paul Dano,nm0200452
Paul Dooley,nm0233209
Paul F. Tompkins,nm0006670
Paul Feig,nm0082450
Paul Forman,nm8720005
Paul Freeman,nm0293550
Paul Giamatti,nm0316079
Paul Gleason,nm0322339
Paul Greene,nm2126366
Paul Gross,nm0343472
Paul Guilfoyle,nm0002117
Paul Higgins,nm0383467
Paul Hogan,nm0001357
Paul Kaye,nm0443373
Paul Lieberstein,nm0509425
Paul Lynde,nm0001489
Paul McCrane,nm0005204
Paul McGann,nm0001524
Paul McGillion,nm0569295
Paul Mercurio,nm0580527
Paul Michael Glaser,nm0001274
Paul Newman,nm0000056
Paul Petersen,nm0676928
Paul Piaskowski,nm3793247
Paul Raci,nm0705152
Paul Ready,nm0713961
Paul Reiser,nm0001663
Paul Reubens,nm0000607
Paul Rhys,nm0722631
Paul Ritter,nm0728795
Paul Rudd,nm0748620
Paul Rust,nm1770256
Paul Scheer,nm1179677
Paul Schneider,nm0773973
Paul Schrader,nm0001707
Paul Schulze,nm0776584
Paul Scofield,nm0006890
Paul Sorvino,nm0000649
Paul Sparks,nm0817027
Paul Sun-Hyung Lee,nm0498004
Paul Telfer,nm1533208
Paul Thomas Anderson,nm0000759
Paul Verhoeven,nm0000682
Paul Walker,nm0908094
Paul Walter Hauser,nm3236159
Paul Wesley,nm0913587
Paul Wight,nm0927833
Paul Williams,nm0931437
Paul Winfield,nm0934902
Paula Abdul,nm0000716
Paula Beer,nm3559009
Paula Garces,nm0305519
Paula Jai Parker,nm0005294
Paula Malcomson,nm0539155
Paula Marshall,nm0005191
Paula Newsome,nm0628420
Paula Patton,nm1745736
Paula Pell,nm0996134
Paula Prentiss,nm0696038
Pauletta Washington,nm0669353
Paulette Goddard,nm0002104
Pauley Perrette,nm0005306
Paulina Gaitan,nm2103508
Paulina Porizkova,nm0005320
Pauline Collins,nm0172604
Paulo Costanzo,nm0182455
Pauly Shore,nm0001736
Paz de la Huerta,nm0209289
Paz Vega,nm0891895
Pedro Almodovar,nm0000264
Pedro Alonso,nm0022261
Pedro Pascal,nm0050959
Peggy Lipton,nm0005152
Pej Vahdat,nm1798530
Penelope Ann Miller,nm0000542
Penelope Cruz,nm0004851
Penelope Mitchell,nm3241414
Penelope Wilton,nm0934362
Penn Badgley,nm0046112
Penny Johnson Jerald,nm0425982
Penny Marshall,nm0001508
Perdita Weeks,nm0917347
Peri Baumeister,nm3973870
Peri Gilpin,nm0004963
Perla Haney-Jardine,nm1549503
Pernell Roberts,nm0731490
Pernilla August,nm0000278
Perrey Reeves,nm0716275
Perry Fitzpatrick,nm1186830
Perry King,nm0455133
Persia White,nm0925316
Persis Khambatta,nm0001422
Peta Sergeant,nm1560632
Peta Wilson,nm0933959
Pete Davidson,nm0203457
Pete Docter,nm0230032
Pete Postlethwaite,nm0000592
Peter Berg,nm0000916
Peter Billingsley,nm0082526
Peter Bogdanovich,nm0000953
Peter Boyle,nm0001967
Peter Capaldi,nm0134922
Peter Coyote,nm0001075
Peter Cullen,nm0191520
Peter Cushing,nm0001088
Peter Dante,nm0200601
Peter Davison,nm0205749
Peter DeLuise,nm0217938
Peter Dinklage,nm0227759
Peter Egan,nm0250718
Peter Facinelli,nm0004906
Peter Falk,nm0000393
Peter Farrelly,nm0268380
Peter Finch,nm0002075
Peter Firth,nm0278752
Peter Fonda,nm0001228
Peter Franzen,nm0291918
Peter Gadiot,nm3461801
Peter Gallagher,nm0001251
Peter Graves,nm0336335
Peter Greene,nm0338886
Peter Hermann,nm0379282
Peter Horton,nm0005022
Peter Jackson,nm0001392
Peter Jacobson,nm0414772
Peter Koch,nm0462387
Peter Krause,nm0470244
Peter Lorre,nm0000048
Peter MacNicol,nm0001493
Peter Macon,nm0534167
Peter Mark Richman,nm0725052
Peter Mensah,nm0579795
Peter Mullan,nm0611932
Peter Ostrum,nm0652578
Peter O'Toole,nm0000564
Peter Outerbridge,nm0653660
Peter Riegert,nm0726200
Peter Sarsgaard,nm0765597
Peter Scanavino,nm1813581
Peter Scolari,nm0778642
Peter Sellers,nm0000634
Peter Serafinowicz,nm0784818
Peter Stormare,nm0001780
Peter Strauss,nm0005471
Peter Ustinov,nm0001811
Peter Vack,nm0114430
Peter Vaughan,nm0891092
Peter Weir,nm0001837
Peter Weller,nm0000693
Peyton Kennedy,nm4922528
Peyton List,nm0514228
Peyton List,nm2572554
Peyton Meyer,nm4873265
Phil Davis,nm0205289
Phil Dunster,nm4651633
Phil Harris,nm0365201
Phil Hartman,nm0367005
Phil LaMarr,nm0482851
Phil Leeds,nm0498609
Phil Lord,nm0520488
Phil Morris,nm0606862
Phil Reeves,nm0716277
Philip Baker Hall,nm0001311
Philip Glenister,nm0322562
Philip Michael Thomas,nm0859365
Philip Seymour Hoffman,nm0000450
Philip Winchester,nm0934618
Philippine Leroy-Beaulieu,nm0503800
Phill Lewis,nm0507629
Phillip Rhys,nm0722632
Phillipa Soo,nm5623883
Phoebe Cates,nm0000121
Phoebe Fox,nm4555381
Phoebe Tonkin,nm2100081
Phoebe Waller-Bridge,nm3564817
Phylicia Rashad,nm0711118
Phyllida Law,nm0492373
Phyllis Diller,nm0226887
Phyllis Logan,nm0517642
Phyllis Smith,nm0809613
Phyllis Somerville,nm0813902
Pico Alexander,nm3754278
Pierce Brosnan,nm0000112
Pierce Gagnon,nm3163952
Pierfrancesco Favino,nm0269419
Pihla Viitala,nm2273799
Pilou Asbaek,nm1561982
Pip Torrens,nm0868476
Piper Laurie,nm0001453
Piper Perabo,nm0005305
Pippa Haywood,nm0371846
Pippa Scott,nm0779673
Polly Draper,nm0237164
Polly Holliday,nm0391072
Polly Walker,nm0908116
Pollyanna McIntosh,nm1717573
Pom Boyd,nm0101881
Pom Klementieff,nm2962353
Poorna Jagannathan,nm1567198
Poppy Corby-Tuech,nm5304426
Poppy Delevingne,nm3518672
Poppy Drayton,nm5014360
Poppy Lee Friar,nm1655719
Poppy Montgomery,nm0599889
Porscha Coleman,nm1483948
Portia de Rossi,nm0005577
Portia Doubleday,nm0234668
Post Malone,nm7970428
Powers Boothe,nm0000959
Priscilla Barnes,nm0055733
Priscilla Presley,nm0001636
Priyanka Chopra,nm1231899
Pruitt Taylor Vince,nm0898546
Prunella Scales,nm0768795
Qi Shu,nm0795517
Q'orianka Kilcher,nm0452963
Queen Latifah,nm0001451
Quentin Dean,nm0212913
Quentin Tarantino,nm0000233
Quinton Aaron,nm2466842
Quvenzhane Wallis,nm4832920
R. Lee Ermey,nm0000388
Rachael Ancheril,nm1846412
Rachael Carpani,nm0139257
Rachael Harris,nm0006713
Rachael Leigh Cook,nm0000337
Rachael MacFarlane,nm1484134
Rachael Stirling,nm0830556
Rachael Taylor,nm1592225
Rachel Bilson,nm1377375
Rachel Blanchard,nm0004761
Rachel Bloom,nm3417385
Rachel Boston,nm1036340
Rachel Brosnahan,nm3014031
Rachel Cannon,nm1881004
Rachel DiPillo,nm3847085
Rachel Dratch,nm0237222
Rachel G. Fox,nm0289200
Rachel Griffiths,nm0341737
Rachel House,nm1344302
Rachel Hurd-Wood,nm1248393
Rachel Keller,nm5043859
Rachel Luttrell,nm0527523
Rachel McAdams,nm1046097
Rachel Melvin,nm1560493
Rachel Miner,nm0001540
Rachel Nichols,nm0629697
Rachel Sennott,nm6976735
Rachel Shenton,nm2053650
Rachel Skarsten,nm0803896
Rachel Ticotin,nm0001797
Rachel True,nm0874086
Rachel Ward,nm0001829
Rachel Weisz,nm0001838
Rachel Wilson,nm0933987
Rachele Brooke Smith,nm2855957
Rachelle Lefevre,nm0498956
Rade Serbedzija,nm0784884
Radha Mitchell,nm0593664
Rae Dawn Chong,nm0001044
Raegan Revord,nm6862942
Rafe Spall,nm1245863
Raffey Cassidy,nm3864163
Rafi Gavron,nm1969169
Rahul Kohli,nm3418510
Rainn Wilson,nm0933988
Rajisha Vijayan,nm8135195
Rajkummar Rao,nm3822770
Ralf Little,nm0514644
Ralf Moeller,nm0005241
Ralph Bellamy,nm0000897
Ralph Fiennes,nm0000146
Ralph Ineson,nm0408591
Ralph Macchio,nm0001494
Ralph Meeker,nm0576127
Ralph Waite,nm0906627
Rami Malek,nm1785339
Ramon Rodriguez,nm1913125
Ramon Tikaram,nm0863130
Ramona Young,nm5021372
Rance Howard,nm0397555
Randall Park,nm1320827
Randee Heller,nm0375374
Randolph Mantooth,nm0544168
Randolph Scott,nm0000068
Randy Quaid,nm0001642
Raoul Bova,nm0100556
Raoul Max Trujillo,nm0874232
Raoul Peck,nm0669704
Raphael Sbarge,nm0768620
Raquel Cassidy,nm0144237
Raquel Castro,nm1211485
Raquel Welch,nm0000079
Rashida Jones,nm0429069
Raul Castillo,nm1950004
Raul Esparza,nm1654778
Raul Julia,nm0000471
Raven-Symone,nm0712368
Ray Fisher,nm3570321
Ray Liotta,nm0000501
Ray McKinnon,nm0571964
Ray Milland,nm0001537
Ray Nicholson,nm2200658
Ray Panthaki,nm1110435
Ray Park,nm0661917
Ray Porter,nm0692255
Ray Romano,nm0005380
Ray Stevenson,nm0829032
Ray Walston,nm0001827
Ray Winstone,nm0935653
Ray Wise,nm0936403
Raymond Ablack,nm2917725
Raymond Burr,nm0000994
Raymond Cruz,nm0190441
Raymond J. Barry,nm0000855
Raza Jaffrey,nm1203005
Reagan Gomez-Preston,nm0327097
Reba McEntire,nm0005207
Rebecca Breeds,nm2843024
Rebecca Creskoff,nm0187460
Rebecca De Mornay,nm0000360
Rebecca Ferguson,nm0272581
Rebecca Front,nm0296410
Rebecca Gayheart,nm0001261
Rebecca Gibney,nm0316805
Rebecca Hall,nm0356017
Rebecca Holden,nm0390258
Rebecca Liddiard,nm4428734
Rebecca Mader,nm1242950
Rebecca Miller,nm0589182
Rebecca Pidgeon,nm0682071
Rebecca Rigg,nm0726630
Rebecca Rittenhouse,nm4590703
Rebecca Romijn,nm0005381
Rebecca Root,nm2340289
Rebecca Staab,nm0820847
Rebecca Wisocky,nm0936607
Rebel Wilson,nm2313103
Reece Shearsmith,nm0790501
Reed Diamond,nm0224703
Reese Witherspoon,nm0000702
Reeve Carney,nm0138840
Reg E. Cathey,nm0146146
Reg Rogers,nm0737138
Rege-Jean Page,nm2074546
Reggie Lee,nm0498046
Regina Hall,nm0356021
Regina King,nm0005093
Reginald VelJohnson,nm0001817
Reid Ewing,nm2938641
Reid Scott,nm1169428
Reign Edwards,nm3913726
Reiko Aylesworth,nm0043855
Reina Hardesty,nm7509200
Rekha Sharma,nm0788907
Remy Hii,nm3600780
Rena Owen,nm0654240
Rena Sofer,nm0812133
Rene Auberjonois,nm0041281
Rene Russo,nm0000623
Renee Elise Goldsberry,nm0325989
Renee Estevez,nm0261729
Renee Felice Smith,nm2782142
Renee O'Connor,nm0640488
Renee Olstead,nm0648164
Renee Props,nm0698707
Renee Taylor,nm0853041
Renee Zellweger,nm0000250
Renny Harlin,nm0001317
Reno Wilson,nm0934008
Retta,nm0802876
Rex Harrison,nm0001322
Rex Linn,nm0513010
Reylynn Caster,nm6094658
Rhashan Stone,nm1528548
Rhea Perlman,nm0674231
Rhea Seehorn,nm0781533
Rhiana Griffith,nm0341587
Rhiannon Fish,nm1589051
Rhoda Griffis,nm0341421
Rhona Mitra,nm0593961
Rhonda Fleming,nm0281766
Rhys Coiro,nm1711052
Rhys Darby,nm1055302
Rhys Ifans,nm0406975
Rian Johnson,nm0426059
Riann Steele,nm3474956
Ricardo Chavira,nm0154632
Ricardo Hurtado,nm7221817
Ricardo Montalban,nm0001544
Riccardo Scamarcio,nm1249052
Rich Sommer,nm1360860
Richard Anderson,nm0027323
Richard Armitage,nm0035514
Richard Attenborough,nm0000277
Richard Ayoade,nm1547964
Richard Basehart,nm0000865
Richard Belzer,nm0001938
Richard Benjamin,nm0000907
Richard Beymer,nm0000937
Richard Boone,nm0095524
Richard Brake,nm0104114
Richard Bright,nm0109175
Richard Brooks,nm1444462
Richard Burgi,nm0121404
Richard Burton,nm0000009
Richard Cabral,nm3450051
Richard Cetrone,nm0149150
Richard Chamberlain,nm0000328
Richard Conte,nm0002017
Richard Coyle,nm0185404
Richard Crenna,nm0001077
Richard Curtis,nm0193485
Richard Dawson,nm0206241
Richard Dean Anderson,nm0000760
Richard Dillane,nm0226819
Richard Donner,nm0001149
Richard Dormer,nm0233807
Richard Dreyfuss,nm0000377
Richard E. Grant,nm0001290
Richard Edson,nm0002057
Richard Erdman,nm0258757
Richard Farnsworth,nm0002070
Richard Flood,nm4390514
Richard Gere,nm0000152
Richard Gilliland,nm0319231
Richard Grieco,nm0001298
Richard Griffiths,nm0341743
Richard Harmon,nm2113653
Richard Harrington,nm0364348
Richard Harris,nm0001321
Richard Hatch,nm0368745
Richard Jaeckel,nm0001395
Richard Jenkins,nm0420955
Richard Jordan,nm0430151
Richard Kiel,nm0001423
Richard Kind,nm0454236
Richard Kline,nm0459658
Richard Lewis,nm0507659
Richard Linklater,nm0000500
Richard Long,nm0519160
Richard Madden,nm0534635
Richard Masur,nm0557956
Richard Moll,nm0596959
Richard Mulligan,nm0612321
Richard O'Brien,nm0639782
Richard Pryor,nm0001640
Richard Rankin,nm3044664
Richard Riehle,nm0726223
Richard Roundtree,nm0745780
Richard Roxburgh,nm0746896
Richard Rush,nm0750701
Richard S. Castellano,nm0144710
Richard Schiff,nm0771493
Richard Speight Jr.,nm0817620
Richard Steven Horvitz,nm0395777
Richard T. Jones,nm0429114
Richard Thomas,nm0001796
Richard Tyson,nm0879186
Richard Widmark,nm0001847
Richard Wilson,nm0934014
Rick Aviles,nm0043173
Rick Cosnett,nm1936048
Rick Ducommun,nm0239958
Rick Fox,nm0289213
Rick Gomez,nm0327072
Rick Gonzalez,nm0327779
Rick Hoffman,nm0389069
Rick Moranis,nm0001548
Rick Rossovich,nm0001685
Rick Springfield,nm0819782
Rick Worthy,nm0941796
Rick Yune,nm0950935
Ricki Lake,nm0001442
Ricky Gervais,nm0315041
Ricky Nelson,nm0625699
Ricky Schroder,nm0005401
Ricky Whittle,nm1340638
Rico Rodriguez,nm2349726
Rider Strong,nm0835045
Rie Rasmussen,nm1051346
Rihanna,nm1982597
Rik Mayall,nm0562201
Riki Lindhome,nm1641251
Rila Fukushima,nm3822462
Riley Keough,nm2142336
Riley Smith,nm0809720
Riley Voelkel,nm3754272
Rinko Kikuchi,nm0452860
Rip Torn,nm0001800
Risteard Cooper,nm0178335
Rita Hayworth,nm0000028
Rita Moreno,nm0001549
Rita Ora,nm1357683
Rita Tushingham,nm0878240
Rita Wilson,nm0001854
Ritchie Coster,nm0182662
Ritu Arya,nm5709125
River Phoenix,nm0000203
Rivkah Reyes,nm1440134
Riz Ahmed,nm1981893
RJ Mitte,nm2666409
Roan Curtis,nm2833575
Rob Benedict,nm0070810
Rob Brown,nm0114532
Rob Brydon,nm0117339
Rob Corddry,nm1117791
Rob Delaney,nm3008739
Rob Estes,nm0004900
Rob Garrison,nm0308459
Rob Heaps,nm4895049
Rob Huebel,nm1097364
Rob Lowe,nm0000507
Rob McElhenney,nm0568390
Rob Morgan,nm1726032
Rob Morrow,nm0001555
Rob Paulsen,nm0667326
Rob Reiner,nm0001661
Rob Riggle,nm1443527
Rob Schneider,nm0001705
Rob Zombie,nm0957772
Robb Wells,nm1036211
Robbie Amell,nm2064412
Robbie Coltrane,nm0001059
Robbie Kay,nm2264199
Robby Benson,nm0000913
Robert Altman,nm0000265
Robert Aramayo,nm7075019
Robert Beltran,nm0000296
Robert Ben Garant,nm0304830
Robert Blake,nm0086706
Robert Buckley,nm0118682
Robert Capron,nm2953573
Robert Carlyle,nm0001015
Robert Carradine,nm0001019
Robert Clary,nm0165145
Robert Conrad,nm0001066
Robert Costanzo,nm0182456
Robert Culp,nm0191685
Robert Cummings,nm0191950
Robert Davi,nm0001108
Robert De Niro,nm0000134
Robert Downey Jr.,nm0000375
Robert Downey Sr.,nm0002049
Robert Duncan McNeill,nm0000536
Robert Duvall,nm0000380
Robert Englund,nm0000387
Robert Forster,nm0001233
Robert Foxworth,nm0289343
Robert Fuller,nm0298333
Robert Glenister,nm0322563
Robert Guillaume,nm0347039
Robert Hardy,nm0362735
Robert Hays,nm0001332
Robert Horton,nm0395667
Robert Hy Gorman,nm0331117
Robert Iler,nm0407615
Robert James-Collier,nm1674947
Robert John Burke,nm0121559
Robert Kazinsky,nm2059117
Robert Kirkman,nm3079117
Robert Knepper,nm0460694
Robert Lansing,nm0487108
Robert LaSardo,nm0489436
Robert Loggia,nm0005162
Robert Maillet,nm0537631
Robert Maschio,nm0556165
Robert Mitchum,nm0000053
Robert Montgomery,nm0599910
Robert Morse,nm0607666
Robert Oliveri,nm0647084
Robert Pastorelli,nm0665123
Robert Patrick,nm0001598
Robert Pattinson,nm1500155
Robert Picardo,nm0000585
Robert Pine,nm0683986
Robert Powell,nm0694293
Robert Prosky,nm0698764
Robert Pugh,nm0700059
Robert Redford,nm0000602
Robert Reed,nm0001658
Robert Ri'chard,nm0722647
Robert Rodriguez,nm0001675
Robert Romanus,nm0001680
Robert Rusler,nm0750852
Robert Ryan,nm0752813
Robert Schwartzman,nm0777521
Robert Sean Leonard,nm0000494
Robert Shaw,nm0001727
Robert Sheehan,nm1588066
Robert Stack,nm0821041
Robert Taylor,nm0001791
Robert Taylor,nm0853079
Robert Urich,nm0001810
Robert Vaughn,nm0001816
Robert Wagner,nm0001822
Robert Wahlberg,nm0906301
Robert Walker Jr.,nm0907480
Robert Wisdom,nm0936298
Robert Z'Dar,nm0120494
Roberto Benigni,nm0000905
Robin Atkin Downes,nm0235960
Robin Dearden,nm0213142
Robin Givens,nm0002101
Robin Lord Taylor,nm2088699
Robin McLeavy,nm2029984
Robin Sachs,nm0755179
Robin Shou,nm0795225
Robin Thomas,nm0859450
Robin Tunney,nm0000677
Robin Weigert,nm0917848
Robin Williams,nm0000245
Robin Wright,nm0000705
Robyn Lively,nm0001477
Robyn Malcolm,nm0539137
Rochelle Aytes,nm1468674
Rochelle Neil,nm2406518
Rochenda Sandall,nm5878360
Rock Hudson,nm0001369
Rockmond Dunbar,nm0241870
Rod Serling,nm0785245
Rod Steiger,nm0001768
Rod Taylor,nm0001792
Roddy McDowall,nm0001522
Roddy Piper,nm0684929
Rodney A. Grant,nm0002110
Rodney Dangerfield,nm0001098
Rodney Rowland,nm0746737
Rodrigo Santoro,nm0763928
Roger Allam,nm0019885
Roger Bart,nm0058372
Roger Clark,nm2538760
Roger Corman,nm0000339
Roger Craig Smith,nm1886746
Roger Cross,nm0003078
Roger Lloyd Pack,nm0516181
Roger Moore,nm0000549
Roger Rees,nm0715953
Roland Moller,nm3435612
Rolf Lassgard,nm0489858
Roma Downey,nm0004884
Roma Maffia,nm0005173
Roman Griffin Davis,nm9877392
Roman Polanski,nm0000591
Romany Malco,nm0539082
Romola Garai,nm0304801
Romy Schneider,nm0002769
Ron Cephas Jones,nm0429171
Ron Eldard,nm0253035
Ron Funches,nm3236733
Ron Glass,nm0322002
Ron Howard,nm0000165
Ron Leibman,nm0500038
Ron Lester,nm0504516
Ron Livingston,nm0515296
Ron Moody,nm0600531
Ron Perlman,nm0000579
Ron Rifkin,nm0726492
Ron Silver,nm0798779
Ron Thomas,nm0859462
Ronald Reagan,nm0001654
Rona-Lee Shim'on,nm2320515
Ronda Rousey,nm3313925
Ronen Rubinstein,nm4230210
Ronny Chieng,nm5307044
Ronny Cox,nm0001074
Rooney Mara,nm1913734
Rory Calhoun,nm0001983
Rory Cochrane,nm0168262
Rory Culkin,nm0191412
Rory Kinnear,nm1239499
Rory McCann,nm0564920
Rosa Salazar,nm4023073
Rosabell Laurenti Sellers,nm3065809
Rosalind Chao,nm0001034
Rosalind Russell,nm0751426
Rosamund Pike,nm0683253
Rosanna Arquette,nm0000275
Rosanna DeSoto,nm0221554
Rosario Dawson,nm0206257
Roscoe Lee Browne,nm0001975
Rose Byrne,nm0126284
Rose Leslie,nm3310211
Rose McGowan,nm0000535
Rose McIver,nm0570860
Rose Rollins,nm0738452
Rose Williams,nm6216593
Roseanne Barr,nm0001683
Roselyn Sanchez,nm0761052
Rosemarie DeWitt,nm1679669
Rosemary Forsyth,nm0287071
Rosemary Harris,nm0365281
Rosie Cavaliero,nm0146803
Rosie Day,nm1133857
Rosie Huntington-Whiteley,nm2492819
Rosie O'Donnell,nm0005280
Rosie Perez,nm0001609
Ross Bagley,nm0046723
Ross Butler,nm5224900
Ross Lynch,nm3515425
Ross Marquand,nm2739851
Ross McCall,nm0564680
Rossif Sutherland,nm1160472
Rossy de Palma,nm0658041
Rowan Atkinson,nm0000100
Rowan Blanchard,nm3688576
Roxann Dawson,nm0206259
Roxanne Hart,nm0366509
Roxanne McKee,nm1861467
Roy Scheider,nm0001702
Royal Dano,nm0200455
Royce Pierreson,nm4817257
Ruben Blades,nm0001952
Ruby Barnhill,nm6982717
Ruby Bentall,nm2182161
Ruby Modine,nm4384329
Ruby O. Fee,nm3382410
Ruby Rose,nm3199307
Rudi Dharmalingam,nm1454287
Rue McClanahan,nm0001516
Rufus Sewell,nm0001722
Rumer Willis,nm0932454
Rune Temte,nm0854815
RuPaul,nm0750412
Rupert Evans,nm1140344
Rupert Everett,nm0000391
Rupert Friend,nm1670029
Rupert Graves,nm0001291
Rupert Grint,nm0342488
Rupert Penry-Jones,nm0672303
Rupert Vansittart,nm0889338
Russ Tamblyn,nm0848560
Russell Brand,nm1258970
Russell Crowe,nm0000128
Russell Johnson,nm0426157
Russell Tovey,nm0869871
Ruta Gedmintas,nm2055792
Ruta Lee,nm0498181
Rutger Hauer,nm0000442
Ruth Bradley,nm1094112
Ruth Connell,nm3276635
Ruth Gemmell,nm0312587
Ruth Gordon,nm0002106
Ruth Negga,nm1550948
Ruth Roman,nm0738746
Ruth Sheen,nm0790689
Ruth Wilson,nm2235721
Rutina Wesley,nm2179180
Rya Kihlstedt,nm0452748
Ryan Bingham,nm1123709
Ryan Buggle,nm6842346
Ryan Cartwright,nm0142206
Ryan Corr,nm1507708
Ryan Dorsey,nm4120006
Ryan Eggold,nm2375297
Ryan Gage,nm2187587
Ryan Gosling,nm0331516
Ryan Guzman,nm4554428
Ryan Hansen,nm1218621
Ryan Hurst,nm0403652
Ryan Kelley,nm0445987
Ryan Kennedy,nm0448317
Ryan Kwanten,nm0477127
Ryan Lee,nm2619114
Ryan McPartlin,nm0574131
Ryan Merriman,nm0581365
Ryan Michelle Bathe,nm1313656
Ryan O'Nan,nm1645352
Ryan O'Neal,nm0641939
Ryan Paevey,nm4518460
Ryan Phillippe,nm0000202
Ryan Piers Williams,nm1215600
Ryan Potter,nm3994407
Ryan Reynolds,nm0005351
Ryan Robbins,nm0730455
Ryan Stiles,nm0830198
Ryan Watson,nm0914870
Ryan Whitney,nm1707018
Ryan Zheng,nm4404779
Ryann Shane,nm1801419
Ryder Allen,nm10994806
RZA,nm0753526
S. Epatha Merkerson,nm0580924
Sabina Gadecki,nm2718712
Sabrina Carpenter,nm4248775
Sabrina Lloyd,nm0005158
Sabrina Scharf,nm0770124
Sabu,nm0754942
Sacha Baron Cohen,nm0056187
Sacha Dhawan,nm0223527
Sadie Calvano,nm3970180
Sadie Frost,nm0001244
Sadie Sink,nm5584750
Sadie Stanley,nm9642493
Saffron Burrows,nm0004787
Sage Stallone,nm0821739
Said Taghmaoui,nm0846548
Sakina Jaffrey,nm0415529
Sal Mineo,nm0000543
Salli Richardson-Whitfield,nm0724757
Sallie Harmsen,nm1760156
Sally Bretton,nm0107988
Sally Field,nm0000398
Sally Hawkins,nm1020089
Sally Kellerman,nm0001419
Sally Kirkland,nm0000476
Sally Lindsay,nm0962559
Sally Phillips,nm0680766
Sally Pressman,nm1443641
Sally Struthers,nm0001783
Salma Hayek,nm0000161
Salman Khan,nm0006795
Salvatore Esposito,nm5086277
Sam Anderson,nm0027402
Sam Bottoms,nm0098734
Sam Claflin,nm3510471
Sam Elliott,nm0000385
Sam Hargrave,nm1092087
Sam Hazeldine,nm1486831
Sam Heughan,nm1537825
Sam Horrigan,nm0395353
Sam Humphrey,nm7976885
Sam Huntington,nm0403134
Sam J. Jones,nm0429207
Sam Jaeger,nm0415382
Sam Lerner,nm1348102
Sam Levinson,nm0506094
Sam Lloyd,nm0516127
Sam Malone,nm4896770
Sam McMurray,nm0573481
Sam Neill,nm0000554
Sam Page,nm0656335
Sam Palladio,nm4112253
Sam Peckinpah,nm0001603
Sam Raimi,nm0000600
Sam Reid,nm2730580
Sam Richardson,nm3931538
Sam Riegel,nm0726184
Sam Riley,nm0727165
Sam Rockwell,nm0005377
Sam Saletta,nm0758150
Sam Shepard,nm0001731
Sam Taylor-Johnson,nm0853374
Sam Trammell,nm0870794
Sam Troughton,nm0873744
Sam Underwood,nm3862996
Sam Waterston,nm0001832
Sam Witwer,nm1022429
Sam Worthington,nm0941777
Samaire Armstrong,nm1027847
Samantha Barks,nm2885819
Samantha Bond,nm0094039
Samantha Eggar,nm0002058
Samantha Isler,nm4705966
Samantha Logan,nm3693092
Samantha Mathis,nm0000526
Samantha Morton,nm0608090
Samantha Mumba,nm0612571
Samantha Robinson,nm6231136
Samantha Sloyan,nm1418096
Samantha Smith,nm0809860
Samantha Win,nm3287954
Samantha Womack,nm0418379
Samara Weaving,nm3034977
Sami Gayle,nm3774109
Samira Wiley,nm4148126
Samm Levine,nm0505949
Sammi Hanratty,nm1767820
Samuel Barnett,nm1154650
Samuel L. Jackson,nm0000168
Samuel Roukin,nm1717183
Samuel West,nm0922335
Sanaa Lathan,nm0005125
Sandahl Bergman,nm0000922
Sandra Bernhard,nm0000928
Sandra Bullock,nm0000113
Sandra Dee,nm0000364
Sandra Hess,nm0381524
Sandra Oh,nm0644897
Sandrine Holt,nm0002142
Sandy Dennis,nm0006800
Sandy Duncan,nm0242098
